12,42,1.249046
12,43,3.141593
13,32,1.249046
13,33,2.356194
13,41,-0.785398
14,67,2.356194
15,18,2.356194
15,30,-0.785398
16,17,-1.570796
18,34,1.570796
18,78,2.356194
19,34,0.000000
19,48,1.570796
20,34,-0.785398
20,48,0.000000
20,60,0.321751
21,60,-0.785398
22,57,1.892547
23,51,2.819842
24,40,0.785398
24,53,1.249046
24,72,0.321751
25,72,-1.570796
26,23,1.249046
26,25,1.892547
26,35,2.819842
27,32,0.321751
27,39,0.321751
27,45,1.249046
27,47,1.570796
28,17,3.141593
28,36,2.819842
29,18,1.570796
29,29,2.819842
29,41,-1.570796
29,45,-1.249046
29,63,-2.356194
29,64,0.785398
29,65,1.570796
29,67,1.892547
29,69,1.249046
30,39,-1.892547
30,73,-2.356194
31,45,0.785398
31,65,-0.321751
31,73,2.356194
31,84,2.356194
32,38,0.785398
32,39,2.356194
32,41,0.785398
32,46,-1.249046
32,61,-0.321751
32,72,0.000000
32,73,-2.356194
33,20,-1.892547
33,24,0.321751
33,29,0.785398
33,33,-0.785398
33,34,-2.356194
33,54,-0.321751
34,26,-1.570796
34,31,-1.892547
34,36,2.356194
34,37,-0.785398
34,38,-1.570796
34,39,-2.356194
34,40,3.141593
34,42,0.000000
34,46,0.785398
34,67,-0.321751
34,74,0.785398
35,19,2.819842
35,24,-2.819842
35,42,-1.570796
35,47,-1.249046
35,65,2.819842
35,74,-0.785398
35,76,1.570796
35,78,1.570796
35,79,2.356194
35,80,-0.785398
35,81,-1.892547
36,7,0.321751
36,21,1.249046
36,32,2.356194
36,38,0.785398
36,39,1.570796
36,40,2.356194
37,7,-1.570796
37,21,-1.892547
37,26,-1.892547
37,36,0.785398
37,37,2.356194
37,49,-1.570796
37,59,-1.570796
37,63,2.819842
37,65,-0.321751
37,69,-0.321751
37,70,2.819842
37,73,-1.570796
37,79,2.819842
38,23,0.321751
38,28,1.249046
38,29,3.141593
38,34,-1.892547
38,40,0.000000
38,47,0.785398
38,63,-1.570796
38,67,2.819842
38,74,1.570796
38,79,-2.356194
39,11,-0.321751
39,19,-2.356194
39,23,-1.570796
39,25,1.570796
39,27,0.000000
39,28,-1.892547
39,38,-2.356194
39,48,-1.249046
39,50,1.892547
39,58,2.819842
39,64,1.570796
39,67,-1.570796
39,71,2.819842
40,16,-1.570796
40,17,3.141593
40,35,0.000000
40,36,-1.892547
40,44,0.000000
40,50,-1.249046
40,51,3.141593
40,58,-1.570796
40,64,-0.321751
40,65,2.819842
40,68,0.000000
40,69,2.356194
40,71,-1.570796
41,12,-0.785398
41,18,-2.356194
41,21,1.570796
41,24,0.321751
41,34,-0.785398
41,38,1.249046
41,39,2.356194
41,47,0.785398
41,48,1.892547
41,65,-1.570796
41,69,-2.356194
41,72,0.000000
41,73,2.356194
41,76,2.819842
41,79,-2.356194
41,81,0.785398
41,82,1.570796
41,83,2.356194
41,84,-0.785398
41,86,2.819842
42,17,1.570796
42,20,0.321751
42,28,3.141593
42,32,2.356194
42,48,-1.249046
42,53,1.570796
42,57,2.819842
42,73,-2.356194
42,76,-2.356194
42,86,-2.356194
43,10,2.356194
43,17,-2.819842
43,20,-1.570796
43,22,0.785398
43,24,-2.356194
43,34,0.000000
43,35,0.000000
43,60,-2.356194
43,73,0.785398
43,82,-2.819842
44,12,3.141593
44,22,-1.570796
44,36,0.000000
44,37,-0.785398
44,38,-1.892547
44,43,0.000000
44,45,0.785398
44,46,1.892547
44,51,0.000000
44,52,2.356194
44,55,2.819842
44,57,-0.321751
44,58,2.819842
44,63,-1.570796
44,73,-0.321751
44,77,2.819842
45,7,0.000000
45,11,-1.892547
45,15,-1.570796
45,18,-0.785398
45,28,1.249046
45,29,3.141593
45,35,-0.785398
45,46,-1.249046
45,55,-1.570796
45,58,-1.570796
46,20,1.570796
46,25,-2.356194
46,27,0.000000
46,28,-1.892547
46,33,3.141593
46,39,3.141593
46,49,2.819842
46,52,0.000000
46,59,-2.356194
46,61,0.785398
46,64,1.570796
46,66,0.785398
47,7,0.321751
47,13,1.570796
47,17,2.356194
47,19,0.321751
47,23,-1.570796
47,26,-2.356194
47,37,0.785398
47,49,-1.570796
47,52,-0.785398
47,54,1.570796
47,56,0.000000
47,75,0.785398
48,13,-2.819842
48,19,-1.570796
